Tiêu chuẩn,Ký hiệu,"Chiều dày tiết diện, mm — nhỏ nhất","Giới hạn chảy, MPa — nhỏ nhất","Giới hạn bền kéo, MPa — nhỏ nhất","Độ giãn dài tương đối, % — nhỏ nhất",Gia công nhiệt,
ASTM A1011 / A1011M-14,"Grade 205, SS","≥ 1,6; < 2,5",205,340 L,24 L,HR,
ASTM A1011 / A1011M-14,"Grade 205, SS","≥ 2,5; < 6,0",205,340 L,25 L,HR,
ASTM A1011 / A1011M-14,"Grade 230,SS","≥ 0,65; < 1,6",230,360 L,18 L,HR,
ASTM A1011 / A1011M-14,"Grade 230,SS","≥ 1,6; < 2,5",230,360 L,22 L,HR,
ASTM A1011 / A1011M-14,"Grade 230,SS","≥ 2,5; < 6,0",230,360 L,23 L,HR,
ASTM A1011 / A1011M-14,"Grade 275, SS","≥ 0,65; < 1,6",275,380 L,15 L,HR,
ASTM A1011 / A1011M-14,"Grade 275, SS","≥ 1,6; < 2,5",275,380 L,20 L,HR,
ASTM A1011 / A1011M-14,"Grade 275, SS","≥ 2,5; < 6,0",275,380 L,21 L,HR,
ASTM A1011 / A1011M-14,"Grade 340,SS","≥ 0,65; < 1,6",340,450 L,11 L,HR,
ASTM A1011 / A1011M-14,"Grade 340,SS","≥ 1,6; < 2,5",340,450 L,16 L,HR,
ASTM A1011 / A1011M-14,"Grade 340,SS","≥ 2,5; < 6,0",340,450 L,17 L,HR,
ASTM A1011 / A1011M-14,"Grade 380, SS","≥ 0,65; < 1,6",380,480,9 L,HR,
ASTM A1011 / A1011M-14,"Grade 380, SS","≥ 1,6; < 2,5",380,480,14 L,HR,
ASTM A1011 / A1011M-14,"Grade 380, SS","≥ 2,5; < 6,0",380,480,15 L,HR,
ASTM A1011 / A1011M-14,"Grade 250,Type 1, SS","≥ 0,65; < 1,6",250,365 L,17 L,HR,
ASTM A1011 / A1011M-14,"Grade 250,Type 1, SS","≥ 1,6; < 2,5",250,365 L,21 L,HR,
ASTM A1011 / A1011M-14,"Grade 250,Type 1, SS","≥ 2,5; < 6,0",250,365 L,22 L,HR,
ASTM A1011 / A1011M-14,"Grade 250, Type 2, SS","≥ 0,65; < 1,6",250,400÷550 L,16 L,HR,
ASTM A1011 / A1011M-14,"Grade 250, Type 2, SS","≥ 1,6; < 2,5",250,400÷550 L,20 L,HR,
ASTM A1011 / A1011M-14,"Grade 250, Type 2, SS","≥ 2,5; < 6,0",250,400÷550 L,21 L,HR,
ASTM A1011 / A1011M-14,"Grade 310,Type 1, SS","≥ 0,65; < 1,6",310,410 L,13 L,HR,
ASTM A1011 / A1011M-14,"Grade 310,Type 1, SS","≥ 1,6; < 2,5",310,410 L,18 L,HR,
ASTM A1011 / A1011M-14,"Grade 310,Type 1, SS","≥ 2,5; < 6,0",310,410 L,19 L,HR,
ASTM A1011 / A1011M-14,"Grade 310,Type 2, SS","≥ 0,65; < 1,6",310÷410,410 L,14 L,HR,
ASTM A1011 / A1011M-14,"Grade 310,Type 2, SS","≥ 1,6; < 2,5",310÷410,410 L,19 L,HR,
ASTM A1011 / A1011M-14,"Grade 310,Type 2, SS","≥ 2,5; < 6,0",310÷410,410 L,20 L,HR,
JIS G 3136:2012,SN400A,≥ 6; < 16,235,400÷510,17,"N, T hoặc TMCP",
JIS G 3136:2012,SN400A,≥ 16; ≤ 40,235,400÷510,21,"N, T hoặc TMCP",
JIS G 3136:2012,SN400B,≥ 6; < 12,235,400÷510,18,"N, T hoặc TMCP",
JIS G 3136:2012,SN400B,≥ 12; ≤ 16,235÷355,400÷510,18,"N, T hoặc TMCP",
JIS G 3136:2012,SN400B,≥ 16; ≤ 40,235÷355,400÷510,22,"N, T hoặc TMCP",
JIS G 3136:2012,SN400C,≥ 6; < 16,-,400÷510,18,"N, T hoặc TMCP",
JIS G 3136:2012,SN400C,≥ 16; ≤ 40,235÷355,400÷510,22,"N, T hoặc TMCP",
JIS G 3136:2012,SN490C,≥ 6; < 16,-,490÷610,17,"N, T hoặc TMCP",
JIS G 3136:2012,SN490C,≥ 16; ≤ 40,325÷445,490÷610,21,"N, T hoặc TMCP",
JIS G 3136:2012,SN490B,≥ 6; < 12,325,490÷610,17,"N, T hoặc TMCP",
JIS G 3136:2012,SN490B,≥ 12; ≤ 16,325÷445,490÷610,17,"N, T hoặc TMCP",
JIS G 3136:2012,SN490B,> 16; ≤ 40,325÷445,490÷610,21,"N, T hoặc TMCP",
JIS G 3101:2015,SS330,≤ 16,205,330÷430,-,HR,
JIS G 3101:2015,SS330,> 16; ≤ 40,195,330÷430,-,HR,
JIS G 3101:2015,SS400,≤ 16,245,400÷510,17,HR,
JIS G 3101:2015,SS400,> 16; ≤ 40,235,400÷510,21,HR,
JIS G 3101:2015,SS490,≤ 16,285,490÷610,-,HR,
JIS G 3101:2015,SS490,> 16; ≤ 40,275,490÷610,-,HR,
JIS G 3101:2015,SS540,≤ 16,400,540,-,HR,
JIS G 3101:2015,SS540,> 16; ≤ 40,390,540,-,HR,
JIS G 3106:2008,SM400A SM400B SM400C,≤ 5,245,400÷510,23,"N, QHT, T hoặc TMCP",
JIS G 3106:2008,SM400A SM400B SM400C,> 5; ≤ 16,245,400÷510,18,"N, QHT, T hoặc TMCP",
JIS G 3106:2008,SM400A SM400B SM400C,> 16; ≤ 40,245,400÷510,22,"N, QHT, T hoặc TMCP",
JIS G 3106:2008,SM490A SM490B SM490C,≤ 5,325,490÷610,22,"N, QHT, T hoặc TMCP",
JIS G 3106:2008,SM490A SM490B SM490C,> 5; ≤ 16,325,490÷610,17,"N, QHT, T hoặc TMCP",
JIS G 3106:2008,SM490A SM490B SM490C,> 16; ≤ 40,315,490÷610,21,"N, QHT, T hoặc TMCP",
JIS G 3106:2008,SM490A SM490B SM490C,> 16; ≤ 40,315,490÷610,21,"N, QHT, T hoặc TMCP",
JIS G 3106:2008,SM490YA SM490YB,≤ 5,365,490÷610,19,"N, QHT, T hoặc TMCP",
JIS G 3106:2008,SM490YA SM490YB,> 5; ≤ 16,365,490÷610,15,"N, QHT, T hoặc TMCP",
JIS G 3106:2008,SM490YA SM490YB,> 16; ≤ 40,355,490÷610,19,"N, QHT, T hoặc TMCP",
JIS G 3106:2008,SM520B SM520C,≤ 5,365,520÷640,19,"N, QHT, T hoặc TMCP",
JIS G 3106:2008,SM520B SM520C,> 5; ≤ 16,365,520÷640,15,"N, QHT, T hoặc TMCP",
JIS G 3106:2008,SM520B SM520C,> 16; ≤ 40,355,520÷640,19,"N, QHT, T hoặc TMCP",
JIS G 3106:2008,SM570,≤ 16,460,570÷720,19,"N, QHT, T hoặc TMCP",
JIS G 3106:2008,SM570,> 16; ≤ 40,450,570÷720,26,"N, QHT, T hoặc TMCP",
KS D 3503:2016,SS235,≤ 16,235,330÷450,-,-,-
KS D 3503:2016,SS235,> 16; ≤ 40,225,330÷450,-,-,-
KS D 3503:2016,SS235,> 40; ≤ 100,205,330÷450,-,-,-
KS D 3503:2016,SS275,≤ 16,275,410÷550,-,-,-
KS D 3503:2016,SS275,> 16; ≤ 40,265,410÷550,-,-,-
KS D 3503:2016,SS275,> 40; ≤ 100,245,410÷550,-,-,-
KS D 3503:2016,SS315,≤ 16,315,490÷630,-,-,-
KS D 3503:2016,SS315,> 16; ≤ 40,305,490÷630,-,-,-
KS D 3503:2016,SS315,> 40; ≤ 100,295,490÷630,-,-,-
KS D 3503:2016,SS410,≤ 16,410,540,-,-,-
KS D 3503:2016,SS410,> 16; ≤ 40,400,540,-,-,-
KS D 3503:2016,SS410,> 40,-,540,-,-,-
KS D 3503:2016,SS450,≤ 16,450,590,-,-,-
KS D 3503:2016,SS450,> 16; ≤ 40,440,590,-,-,-
KS D 3503:2016,SS450,> 40,-,590,-,-,-
KS D 3515:2014,SM275A SM275B SM275C SM275D,≤ 16,275,410÷550,-,-,-
KS D 3515:2014,SM275A SM275B SM275C SM275D,> 16; ≤ 40,265,410÷550,-,-,-
KS D 3515:2014,SM275A SM275B SM275C SM275D,> 40; ≤ 75,255,410÷550,-,-,-
KS D 3515:2014,SM355A SM355B SM355C SM355D,≤ 16,355,490÷630,-,-,-
KS D 3515:2014,SM355A SM355B SM355C SM355D,> 16; ≤ 40,345,490÷630,-,-,-
