3.1.23.1.23.1.2,Thép cuộnThép cuộnThép cuộn
3.1.33.1.33.1.3,Thép hìnhThép hìnhThép hình
3.1.43.1.43.1.4,Thép tấmThép tấmThép tấm
3.1.53.1.53.1.5,"Cáp thép, sợi thépCáp thép, sợi thépCáp thép, sợi thép"
3.1.63.1.63.1.6,Các loại vật liệu thép xây dựng khácCác loại vật liệu thép xây dựng khácCác loại vật liệu thép xây dựng khác
3.23.23.2,Tôn lợpTôn lợpTôn lợp
3.33.33.3,Tấm ốp kim loạiTấm ốp kim loạiTấm ốp kim loại
3.43.43.4,Thanh định hình (profile) nhôm và hợp kim nhômThanh định hình (profile) nhôm và hợp kim nhômThanh định hình (profile) nhôm và hợp kim nhôm
3.53.53.5,"Khung cửa, vách ngăn bằng nhômKhung cửa, vách ngăn bằng nhômKhung cửa, vách ngăn bằng nhôm"
3.63.63.6,"Ống và phụ tùng bằng kim loại dùng cho cấp, thoát nướcỐng và phụ tùng bằng kim loại dùng cho cấp, thoát nướcỐng và phụ tùng bằng kim loại dùng cho cấp, thoát nước"
3.6.13.6.13.6.1,Ống và phụ tùng bằng gang dẻo dùng cho các công trình dẫn nướcỐng và phụ tùng bằng gang dẻo dùng cho các công trình dẫn nướcỐng và phụ tùng bằng gang dẻo dùng cho các công trình dẫn nước
3.6.23.6.23.6.2,"Ống và phụ tùng bằng đồng, hợp kim đồng dùng cho cấp, thoát nướcỐng và phụ tùng bằng đồng, hợp kim đồng dùng cho cấp, thoát nướcỐng và phụ tùng bằng đồng, hợp kim đồng dùng cho cấp, thoát nước"
3.6.33.6.33.6.3,"Ống và phụ tùng bằng nhôm, hợp kim nhôm dùng cho cấp, thoát nướcỐng và phụ tùng bằng nhôm, hợp kim nhôm dùng cho cấp, thoát nướcỐng và phụ tùng bằng nhôm, hợp kim nhôm dùng cho cấp, thoát nước"
3.73.73.7,Các vật liệu xây dựng khác từ kim loạiCác vật liệu xây dựng khác từ kim loạiCác vật liệu xây dựng khác từ kim loại
