"Tỉnh, thành phố trực thuộc Trung ương",TP/Huyện/Thị xã (hoặc tương đương),Sông,Thời gian bắt đầu
Hà Giang,Vị Xuyên,-,19/6/2007
Hà Giang,Vị Xuyên,-,20/6/2007
Hà Giang,Vị Xuyên,-,29/6/2007
Hà Giang,Vị Xuyên,-,29/6/2007
Hà Giang,Vị Xuyên,-,8/7/2006
Hà Giang,Vị Xuyên,-,18/7/2004
Hà Giang,Vị Xuyên,-,17/8/1996
Hà Giang,Vị Xuyên,-,28/8/2008
Hà Giang,Vị Xuyên,-,7/9/2015
Hà Giang,Xín Mần,-,23/6/2006
Hà Giang,Xín Mần,-,3/6/1995
Hà Giang,Xín Mần,Chảy,5/6/1993
Hà Giang,Xín Mần,-,30/5/1995
Hà Giang,Xín Mần,-,24-26/7/2008
Hà Giang,Xín Mần,-,27/4/2009
Hà Giang,Xín Mần,-,26/4/2010
Hà Giang,Xín Mần,-,20/7/2017
Hà Giang,Yên Minh,Lô,5/6/1993
Hà Giang,Yên Minh,-,4/4/2004
Hà Giang,Yên Minh,-,19/7/2004
Hà Giang,Yên Minh,-,18/7/2004
Hà Giang,Yên Minh,-,18/7/2004
Hà Giang,Yên Minh,-,24/7/2010
Hà Tĩnh,Hương Khê,-,17/9/2002
Hà Tĩnh,Hương Khê,-,5/6/2009
Hà Tĩnh,Hương Sơn,-,17/9/2002
Hà Tĩnh,Hương Sơn,Ngàn Phố,26/5/1989
Hà Tĩnh,Hương Sơn,-,16/10/2013
Hà Tĩnh,Vũ Quang,-,24-26/9/2009
Hà Tĩnh,Vũ Quang,-,16/10/2013
Hà Tĩnh,Vũ Quang,-,22/9/2014
Hoà Bình,Kỳ Sơn,-,28/6/1995
Hoà Bình,Lương Sơn,Bùi,2/6/2001
Hoà Bình,Lương Sơn,Bùi,9/7/2001
Hoà Bình,"Kim Bôi, Tân Lạc, Lạc Sơn, Mai Châu, Kỳ Sơn",-,11-12/10/2017
Kiên Giang,Kiên Hải,-,28/7/1998
Kiên Giang,TP. Phú Quốc,-,20/8/1997
Kon Tum,TP. Kon Tum,-,7/8/2008
Kon Tum,TP. Kon Tum,-,28-29/9/2009
Điện Biên,-,6/7/2004
Điện Biên,-,14/6/2005
Điện Biên,Điện Biên Đông,-,24/8/1997
Điện Biên,Điện Biên Đông,-,8/8/1997
Điện Biên,TX. Mường Lay,-,23/7/1994
Điện Biên,TX. Mường Lay,-,15/8/1996
Điện Biên,TX. Mường Lay,-,25/7-4/8/2015
Điện Biên,Mường Ảng,-,25/7-4/8/2015
Điện Biên,Nậm Pồ,-,2-3/8/2017
Điện Biên,Tuần Giáo,-,8/8/1997
Điện Biên,Tuần Giáo,-,25/7-4/8/2015
Điện Biên,TP. Điện Biên Phủ,Nậm Rốn,2/9/1975
Điện Biên,TP. Điện Biên Phủ,Nậm Rốn,14/7/1994
Điện Biên,TP. Điện Biên Phủ,-,4/8/2008
Điện Biên,TP. Điện Biên Phủ,-,23/7/2011
Lai Châu,Mường Tè,-,15/8/1996
Lai Châu,Mường Tè,-,17/3/1997
