ma_hieu,loai_vat_lieu_quy_cach,mac_be_tong,xi_mang_kg,cat_vang_m3,da_dam_m3,nuoc_lit,phu_gia
11.12174,Đá d = 70mm max [(4070)% cỡ 2x4cm và (6030)% cỡ 4x7 cm],300,286,"0,531","0,867",155,-
11.12175,Đá d = 70mm max [(4070)% cỡ 2x4cm và (6030)% cỡ 4x7 cm],350,322,"0,523","0,853",155,-
11.12176,Đá d = 70mm max [(4070)% cỡ 2x4cm và (6030)% cỡ 4x7 cm],400,356,"0,515","0,841",155,-
11.12177,Đá d = 70mm max [(4070)% cỡ 2x4cm và (6030)% cỡ 4x7 cm],450,394,"0,506","0,826",155,-
11.12178,Đá d = 70mm max [(4070)% cỡ 2x4cm và (6030)% cỡ 4x7 cm],500,441,"0,496","0,809",155,dẻo hóa
11.12179,Đá d = 70mm max [(4070)% cỡ 2x4cm và (6030)% cỡ 4x7 cm],600,534,"0,474","0,774",155,siêu dẻo
11.12211,"Đá d = 10mm max (Cỡ 0,5x1cm)",150,227,"0,518","0,845",193,-
11.12212,"Đá d = 10mm max (Cỡ 0,5x1cm)",200,270,"0,508","0,829",193,-
11.12213,"Đá d = 10mm max (Cỡ 0,5x1cm)",250,314,"0,498","0,812",193,-
11.12214,"Đá d = 10mm max (Cỡ 0,5x1cm)",300,357,"0,488","0,796",193,-
11.12215,"Đá d = 10mm max (Cỡ 0,5x1cm)",350,395,"0,481","0,785",190,-
11.12216,"Đá d = 10mm max (Cỡ 0,5x1cm)",400,437,"0,471","0,769",190,dẻo hoá
11.12217,"Đá d = 10mm max (Cỡ 0,5x1cm)",450,472,"0,467","0,762",185,dẻo hóa
11.12218,"Đá d = 10mm max (Cỡ 0,5x1cm)",500,485,"0,475","0,774",170,siêu dẻo
11.12219,"Đá d = 10mm max (Cỡ 0,5x1cm)",600,552,"0,466","0,761",160,poly
11.12221,"Đá d = 20mm max [(40÷70)% cỡ 0,5x1cm; (60÷30)% cỡ 1x2cm]",150,215,"0,528","0,861",183,-
11.12222,"Đá d = 20mm max [(40÷70)% cỡ 0,5x1cm; (60÷30)% cỡ 1x2cm]",200,256,"0,518","0,846",183,-
11.12223,"Đá d = 20mm max [(40÷70)% cỡ 0,5x1cm; (60÷30)% cỡ 1x2cm]",250,298,"0,509","0,830",183,-
11.12224,"Đá d = 20mm max [(40÷70)% cỡ 0,5x1cm; (60÷30)% cỡ 1x2cm]",300,338,"0,499","0,815",183,-
11.12225,"Đá d = 20mm max [(40÷70)% cỡ 0,5x1cm; (60÷30)% cỡ 1x2cm]",350,374,"0,493","0,804",180,-
11.12226,"Đá d = 20mm max [(40÷70)% cỡ 0,5x1cm; (60÷30)% cỡ 1x2cm]",400,403,"0,490","0,800",175,dẻo hoá
11.12227,"Đá d = 20mm max [(40÷70)% cỡ 0,5x1cm; (60÷30)% cỡ 1x2cm]",450,434,"0,486","0,794",170,siêu dẻo
11.12228,"Đá d = 20mm max [(40÷70)% cỡ 0,5x1cm; (60÷30)% cỡ 1x2cm]",500,485,"0,475","0,774",170,poly
11.12229,"Đá d = 20mm max [(40÷70)% cỡ 0,5x1cm; (60÷30)% cỡ 1x2cm]",600,552,"0,466","0,761",160,poly
11.12241,Đá d = 40mm max [(40÷70)% cỡ 1x2cm và (60÷30)% cỡ 2x4cm],150,203,"0,538","0,877",172,-
11.12242,Đá d = 40mm max [(40÷70)% cỡ 1x2cm và (60÷30)% cỡ 2x4cm],200,242,0.529,"0,863",173,-
11.12243,Đá d = 40mm max [(40÷70)% cỡ 1x2cm và (60÷30)% cỡ 2x4cm],250,281,"0,520","0,848",173,-
11.12244,Đá d = 40mm max [(40÷70)% cỡ 1x2cm và (60÷30)% cỡ 2x4cm],300,319,"0,511","0,833",173,-
11.12245,Đá d = 40mm max [(40÷70)% cỡ 1x2cm và (60÷30)% cỡ 2x4cm],350,359,"0,502","0,818",173,-
11.12246,Đá d = 40mm max [(40÷70)% cỡ 1x2cm và (60÷30)% cỡ 2x4cm],400,391,"0,496","0,810",170,-
11.12247,Đá d = 40mm max [(40÷70)% cỡ 1x2cm và (60÷30)% cỡ 2x4cm],450,434,"0,486","0,794",170,dẻo hóa
11.12248,Đá d = 40mm max [(40÷70)% cỡ 1x2cm và (60÷30)% cỡ 2x4cm],500,470,"0,481","0,786",165,siêu dẻo
