table_name,TT,Loại công trình,≤ 10,20,50,100,200,500,1.000,2.000,5.000,10.000,20.000,≥ 30.000,≤ 15,≥ 20.000,≤ 1,3,7,15,40,5,10,150,240,Cấp công trình,8.000,≥ 10.000,Công trình,≤ 5,≥ 500,Cấp điện áp,≥ 1.000,25,Chi phí tư vấn (chưa thuế GTGT) (tỷ đồng),Chi phí khảo sát (chưa thuế GTGT) (tỷ đồng),≥ 50
Bảng 2.15: Định mức chi phí thiết kế kỹ thuật của công trình hạ tầng kỹ thuật có yêu cầu thiết kế kỹ thuật và thiết kế bản vẽ thi công,,,"1,473","1,295","1,139","0,838","0,655","0,523","0,335","0,292","0,260",,,,,,,,,,,,,,,Cấp IV,"0,224","0,201",,,,,,,,,
Bảng 2.16: Định mức chi phí thiết kế bản vẽ thi công của công trình hạ tầng kỹ thuật không yêu cầu thiết kế kỹ thuật,,,"3,764","3,309","2,910","2,143","1,674","1,337","0,857","0,747","0,663",,,,,,,,,,,,,,,Cấp đặc biệt,"0,572","0,513",,,,,,,,,
Bảng 2.16: Định mức chi phí thiết kế bản vẽ thi công của công trình hạ tầng kỹ thuật không yêu cầu thiết kế kỹ thuật,,,"3,273","2,877","2,530","1,863","1,456","1,162","0,745","0,649","0,577",,,,,,,,,,,,,,,Cấp I,"0,497","0,446",,,,,,,,,
Bảng 2.16: Định mức chi phí thiết kế bản vẽ thi công của công trình hạ tầng kỹ thuật không yêu cầu thiết kế kỹ thuật,,,"2,782","2,446","2,151","1,584","1,237","0,988","0,633","0,552","0,490",,,,,,,,,,,,,,,Cấp II,"0,423","0,380",,,,,,,,,
Bảng 2.16: Định mức chi phí thiết kế bản vẽ thi công của công trình hạ tầng kỹ thuật không yêu cầu thiết kế kỹ thuật,,,"2,291","2,014","1,771","1,304","1,019","0,814","0,522","0,455","0,404",,,,,,,,,,,,,,,Cấp III,"0,348","0,313",,,,,,,,,
Bảng 2.16: Định mức chi phí thiết kế bản vẽ thi công của công trình hạ tầng kỹ thuật không yêu cầu thiết kế kỹ thuật,,,"1,800","1,583","1,392","1,025","0,801","0,639","0,410","0,357","0,317",,,,,,,,,,,,,,,Cấp IV,"0,274","0,246",,,,,,,,,
Bảng HTKT1: Định mức chi phí thiết kế công trình Thông tin - Truyền thông,,,,,"0,95","0,80","0,70",,,,,,,,,,,,,"1,30",,,"1,40",,,,,,"Công trình truyền dẫn cáp treo, cáp chôn trực tiếp","1,83","0,60",,,"1,10",,,
Bảng HTKT1: Định mức chi phí thiết kế công trình Thông tin - Truyền thông,,,,,"1,10","1,00","0,90",,,,,,,,,,,,,"1,40",,,"1,50",,,,,,Công trình tuyến cáp chôn qua sông,"1,90","0,70",,,"1,30",,,
Bảng HTKT1: Định mức chi phí thiết kế công trình Thông tin - Truyền thông,,,,,"1,15","1,05","0,95",,,,,,,,,,,,,"1,50",,,"1,60",,,,,,"Công trình hào kỹ thuật, cống cáp ngầm","2,10","0,80",,,"1,35",,,
Bảng HTKT2: Định mức chi phí thiết kế công trình máy thông tin,,,,,"0,45","0,35","0,25",,,,,,,,,,,,,"0,60",,,"0,75",,,,,,"Các loại tổng đài host, vệ tinh, độc lập","1,00","0,15",,,"0,50",,,
Bảng HTKT2: Định mức chi phí thiết kế công trình máy thông tin,,,,,"0,40","0,30","0,20",,,,,,,,,,,,,"0,55",,,"0,70",,,,,,"Các loại tổng đài MSC, BSC, truy nhập thuê bao, nhắn tin","0,90","0,10",,,"0,45",,,
Bảng HTKT2: Định mức chi phí thiết kế công trình máy thông tin,,,,,"0,40","0,30","0,20",,,,,,,,,,,,,"0,60",,,"0,80",,,,,,Hệ thống thiết bị truyền dẫn quang,"1,35","0,10",,,"0,50",,,
